s_id,x,y,z
0,291.7053736918063,117.2692800469369,64.0
0,311.2422156689884,106.50408140644876,64.0
0,334.367457193,101.32083761658411,64.0
0,349.91718856259394,110.49119201403695,64.0
0,355.4991434132174,123.24994595831919,64.0
0,357.8914097777703,136.80612202411905,64.0
0,353.10687704866456,148.76745384688363,64.0
0,340.3481231043823,159.93136354813055,64.0
0,325.9945249170648,169.89914006710106,64.0
0,303.6667055145709,184.65144931517736,64.0
0,280.9401750513182,196.61278113794194,64.0
0,258.6123556488243,209.77024614298298,64.0
0,231.8987145779834,224.12384433030047,64.0
0,210.3683172970072,235.2877540315474,64.0
0,190.43276425906623,241.26841994292968,64.0
0,176.07916607174872,231.69935448471804,64.0
0,166.11138955277823,215.75091205436527,64.0
0,172.09205546416052,193.02438159111256,64.0
0,194.8185859274132,171.89269537089515,64.0
0,235.08840306405398,147.97003172536597,64.0
0,266.58657686400073,130.82545611273676,64.0
1,319.61514794492365,99.32728231279002,79.0
1,331.5764797676882,96.53630488747828,79.0
1,343.93652265121165,98.9285712520312,79.0
1,355.8978544739762,112.88345837858986,79.0
1,363.47336462839377,128.43318974818382,79.0
1,363.07465356763504,149.96358702916007,79.0
1,358.688831899288,166.31074052027168,79.0
1,349.11976644107637,177.4746502215186,79.0
1,334.76616825375885,191.82824840883612,79.0
1,314.43190415505904,202.59344704932423,79.0
1,292.10408475256514,208.1754018999477,79.0
1,270.9723985323477,213.75735675057118,79.0
1,255.42266716275378,219.73802266195347,79.0
1,238.67680261088333,229.30708812016513,79.0
1,221.93093805901293,242.06584206444737,79.0
1,205.98249562866016,248.84393009734728,79.0
1,185.64823152996036,252.83104070493548,79.0
1,164.91525637050177,246.8503747935532,79.0
1,155.7449019730489,234.8890429707886,79.0
1,151.35908030470193,214.95348993284762,79.0
1,155.34619091229013,196.21407007718312,79.0
1,173.288188646437,178.67078340379507,79.0
1,190.0340531983074,168.30429582406578,79.0
1,217.54511639066595,157.93780824433645,79.0
1,237.48066942860692,147.17260960384834,79.0
1,261.80204413489486,134.0151445988073,79.0
1,288.9143962664946,119.66154641148981,79.0
1,307.65381612215907,106.90279246720758,79.0
2,324.0009696132707,98.52986019127238,106.0
2,333.5700350714823,97.33372700899592,106.0
2,346.3287890157646,102.11825973810176,106.0
2,359.08754296004685,117.2692800469369,106.0
2,369.8527416005349,135.21127778108377,106.0
2,377.42825175495244,157.53909718357764,106.0
2,377.42825175495244,173.4875396139304,106.0
2,367.8591862967408,189.43598204428318,106.0
2,353.9042991701821,202.99215811008304,106.0
2,336.75972355755295,213.35864568981236,106.0
2,319.2164368841648,218.9406005404358,106.0
2,295.29377323863565,223.32642220878284,106.0
2,272.1685317146242,231.69935448471804,106.0
2,253.4291118589597,248.84393009734728,106.0
2,237.8793804893657,265.9885057099765,106.0
2,221.93093805901293,273.9627269251529,106.0
2,201.59667396031313,276.35499328970576,106.0
2,184.85080940844273,271.9691716213588,106.0
2,171.2946333426429,260.80526192011183,106.0
2,157.738457276843,245.25553055051788,106.0
2,146.9732586363549,228.11095493788866,106.0
2,143.38485908952555,211.76380144677708,106.0
2,148.16939181863137,193.8218037126302,106.0
2,166.51010061353708,175.87980597848335,106.0
2,192.0276085021015,160.3300746088894,106.0
2,213.15929472231892,149.56487596840125,106.0
2,242.66391321847152,138.0022552063955,106.0
2,265.78915474248305,124.44607914059563,106.0
2,287.3195520234593,111.68732519631342,106.0
2,306.45768293988266,102.11825973810176,106.0
3,276.5543533829712,119.66154641148981,121.0
3,287.7182630842181,111.68732519631342,121.0
3,304.0654165753297,104.9092371634135,121.0
3,321.60870324871775,102.9156818596194,121.0
3,339.5507009828646,109.29505883176051,121.0
3,357.8914097777703,120.06025747224862,121.0
3,368.6566084182585,133.61643353804848,121.0
3,379.42180705874654,154.74811975826591,121.0
3,384.60505084861126,174.68367279620688,121.0
3,378.2256738764701,189.43598204428318,121.0
3,367.06176417522323,203.7895802316007,121.0
3,352.3094549271469,214.95348993284762,121.0
3,332.3739018892059,221.33286690498875,121.0
3,308.0525271829179,228.11095493788866,121.0
3,289.3131073272534,241.26841994292968,121.0
3,265.39044368172426,261.2039729808707,121.0
3,241.8664910969539,272.36788268211757,121.0
3,221.1335159374953,277.94983753274107,121.0
3,196.8121412312073,279.14597071501754,121.0
3,178.0727213755428,274.36143798591166,121.0
3,166.51010061353708,260.406550859353,121.0
3,158.53587939836063,248.04650797582966,121.0
3,150.16294712242546,228.11095493788866,121.0
3,147.77068075787253,208.97282402146533,121.0
3,151.35908030470193,193.42309265187137,121.0
3,164.51654530974298,179.4682055253127,121.0
3,182.059831983131,168.7030068848246,121.0
3,201.19796289955434,159.93136354813055,121.0
3,224.32320442356587,151.95714233295416,121.0
3,245.4548906437833,143.58421005701896,121.0
3,268.181421107036,129.23061186970148,121.0
4,285.3259967196652,121.25639065452509,136.0
4,298.08475066394743,114.07959156086633,136.0
4,314.8306152158179,108.09892564948404,136.0
4,330.3803465854118,107.70021458872523,136.0
4,346.3287890157646,116.87056898617806,136.0
4,364.27078674991145,133.21772247728967,136.0
4,381.0166513017819,153.15327551523063,136.0
4,390.1870056992347,173.4875396139304,136.0
4,386.59860615240535,187.44242674048908,136.0
4,375.8334075119172,199.8024696240125,136.0
4,359.8849650815644,215.35220099360646,136.0
4,334.76616825375885,229.30708812016513,136.0
4,308.0525271829179,248.44521903658844,136.0
4,282.5350192943535,266.7859278314941,136.0
4,256.6188003450302,277.55112647198223,136.0
4,229.50644821343053,284.727925565641,136.0
4,204.7863624463837,288.7150361732292,136.0
4,185.24952046920157,280.7408149580528,136.0
4,170.49721122112527,267.58334995301175,136.0
4,158.93459045911948,251.23619646190016,136.0
4,155.7449019730489,232.49677660623567,136.0
4,157.33974621608422,209.77024614298298,136.0
4,162.52299000594888,189.83469310504202,136.0
4,180.0662766793369,169.89914006710106,136.0
4,196.41343017044852,164.31718521647758,136.0
4,221.93093805901293,160.3300746088894,136.0
4,240.67035791467742,157.53909718357764,136.0
4,255.82137822351257,144.3816321785366,136.0
4,269.77626535007124,133.21772247728967,136.0
5,186.0469425907192,186.24629355821264,157.0
5,173.68689970719578,200.99860280628894,157.0
5,167.3075227350547,216.1496231151241,157.0
5,164.11783424898414,238.07873145685917,157.0
5,167.3075227350547,258.0142844948001,157.0
5,179.66756561857807,274.36143798591166,157.0
5,197.60956335272493,284.32921450488215,157.0
5,221.1335159374953,285.92405874791746,157.0
5,240.67035791467742,280.34210389729395,157.0
5,268.9788432285536,267.9820610137706,157.0
5,299.28088384622384,250.83748540114138,157.0
5,327.1906580993412,235.2877540315474,157.0
5,354.7017212916998,218.14317841891818,157.0
5,370.25145266129374,199.8024696240125,157.0
5,373.8398522081231,179.86691658607154,157.0
5,365.46691993218786,156.3429640013012,157.0
5,349.5184775018351,138.0022552063955,157.0
5,330.77905764617066,128.43318974818382,157.0
5,311.64092672974726,125.6422123228721,157.0
5,291.3066626310475,131.22416717349557,157.0
5,275.75693126145353,144.3816321785366,157.0
5,259.80848883110076,160.7287856696482,157.0
5,238.67680261088333,173.4875396139304,157.0
5,217.94382745142474,173.88625067468925,157.0
5,202.3940960818308,176.67722810000097,157.0
6,320.0138590056825,144.78034323929543,182.0
6,335.96230143603526,145.97647642157187,182.0
6,353.10687704866456,152.355853393713,182.0
6,364.6694978106703,162.3236299126835,182.0
6,368.6566084182585,179.06949446455388,182.0
6,363.8720756891526,193.02438159111256,182.0
6,352.3094549271469,204.98571341387714,182.0
6,337.5571456790705,218.14317841891818,182.0
6,322.80483643099427,228.50966599864748,182.0
6,305.660260818365,238.07873145685917,182.0
6,288.9143962664946,247.6477969150708,182.0
6,274.5607980791771,258.0142844948001,182.0
6,256.6188003450302,268.3807720745294,182.0
6,241.8664910969539,277.55112647198223,182.0
6,225.91804866660112,285.12663662639983,182.0
6,209.5708951754895,287.91761405171155,182.0
6,193.62245274513674,279.5446817757763,182.0
6,182.45854304388985,267.9820610137706,182.0
6,174.88303288947225,255.22330706948836,182.0
6,172.88947758567815,238.8761535783768,182.0
6,176.07916607174872,224.52255539105929,182.0
6,183.25596516540747,208.97282402146533,182.0
6,197.60956335272493,192.62567053035374,182.0
6,216.74769426914827,178.67078340379507,182.0
6,243.4613353399892,165.91202945951284,182.0
6,267.78271004627715,159.13394142661292,182.0
6,288.11697414497695,154.74811975826591,182.0
6,301.6731502107768,147.97003172536597,182.0
7,253.82782291971847,171.89269537089515,192.0
7,273.76337595765943,163.91847415571874,192.0
7,299.28088384622384,153.15327551523063,192.0
7,324.3996806740295,147.57132066460716,192.0
7,345.5313668942469,150.76100915067772,192.0
7,359.8849650815644,165.91202945951284,192.0
7,364.27078674991145,181.06304976834798,192.0
7,365.06820887142914,193.8218037126302,192.0
7,360.28367614232326,206.97926871767123,192.0
7,349.11976644107637,218.14317841891818,192.0
7,336.3610124967941,226.11739963409457,192.0
7,320.41257006644133,231.30064342395923,192.0
7,299.28088384622384,238.8761535783768,192.0
7,275.75693126145353,251.23619646190016,192.0
7,248.6445791298538,267.58334995301175,192.0
7,229.90515927418932,278.34854859349986,192.0
7,208.3747619932131,280.7408149580528,192.0
7,192.0276085021015,271.9691716213588,192.0
7,181.66112092237216,260.406550859353,192.0
7,178.0727213755428,243.66068630748262,192.0
7,182.059831983131,226.11739963409457,192.0
7,192.42631956286033,205.38442447463598,192.0
7,211.5644504792836,189.43598204428318,192.0
7,236.28453624633045,179.4682055253127,192.0
